[2025-04-05 15:56:55,841][__main__][INFO] - System information:
[2025-04-05 15:56:55,841][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-05 15:56:55,841][__main__][INFO] -   Python: 3.12.2
[2025-04-05 15:56:55,841][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Available: True
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Version: 12.4
[2025-04-05 17:11:44,551][__main__][INFO] - EnvName: LLdV3, Steps: 167k, Episode Reward: 205
[2025-04-05 17:12:09,204][__main__][INFO] - EnvName: LLdV3, Steps: 168k, Episode Reward: 212
[2025-04-05 17:12:36,028][__main__][INFO] - EnvName: LLdV3, Steps: 169k, Episode Reward: 160
[2025-04-05 17:13:00,437][__main__][INFO] - EnvName: LLdV3, Steps: 170k, Episode Reward: 167
[2025-04-05 17:13:27,469][__main__][INFO] - EnvName: LLdV3, Steps: 171k, Episode Reward: 185
[2025-04-05 17:13:53,552][__main__][INFO] - EnvName: LLdV3, Steps: 172k, Episode Reward: 187
[2025-04-05 17:14:17,348][__main__][INFO] - EnvName: LLdV3, Steps: 173k, Episode Reward: 194
[2025-04-05 17:14:43,345][__main__][INFO] - EnvName: LLdV3, Steps: 174k, Episode Reward: 219
[2025-04-05 17:15:09,479][__main__][INFO] - EnvName: LLdV3, Steps: 175k, Episode Reward: 179
[2025-04-05 17:15:35,776][__main__][INFO] - EnvName: LLdV3, Steps: 176k, Episode Reward: 111
[2025-04-05 17:16:01,632][__main__][INFO] - EnvName: LLdV3, Steps: 177k, Episode Reward: 140
[2025-04-05 17:16:28,770][__main__][INFO] - EnvName: LLdV3, Steps: 178k, Episode Reward: 156
[2025-04-05 17:16:53,343][__main__][INFO] - EnvName: LLdV3, Steps: 179k, Episode Reward: 210
[2025-04-05 17:17:17,805][__main__][INFO] - EnvName: LLdV3, Steps: 180k, Episode Reward: 196
